Id,Nom de l'appellation,Hiérarchie,Vignoble
1,Agenais,IGP,Agen
2,Ajaccio,Communale,Corse
3,Aloxe-Corton,Communale,Côte de Beaune
4,Aloxe-Corton Premier Cru,Groupe de Premiers Crus,Côte de Beaune
5,Aloxe-Corton Premier Cru Clos des Maréchaudes,Premier Cru,Côte de Beaune
6,Aloxe-Corton Premier Cru Clos du Chapitre,Premier Cru,Côte de Beaune
7,Aloxe-Corton Premier Cru La Coutière,Premier Cru,Côte de Beaune
8,Aloxe-Corton Premier Cru La Maréchaude,Premier Cru,Côte de Beaune
9,Aloxe-Corton Premier Cru La Toppe au Vert,Premier Cru,Côte de Beaune
10,Aloxe-Corton Premier Cru Les Chaillots blanc,Premier Cru,Côte de Beaune
11,Aloxe-Corton Premier Cru Les Fournières,Premier Cru,Côte de Beaune
12,Aloxe-Corton Premier Cru Les Guérets,Premier Cru,Côte de Beaune
13,Aloxe-Corton Premier Cru Les Maréchaudes,Premier Cru,Côte de Beaune
14,Aloxe-Corton Premier Cru Les Moutottes,Premier Cru,Côte de Beaune
15,Aloxe-Corton Premier Cru Les Paulands,Premier Cru,Côte de Beaune
16,Aloxe-Corton Premier Cru Les Petites Folières,Premier Cru,Côte de Beaune
17,Aloxe-Corton Premier Cru Les Valozières,Premier Cru,Côte de Beaune
18,Aloxe-Corton Premier Cru Les Vercots,Premier Cru,Côte de Beaune
19,Alpes-de-Haute-Provence,IGP,Provence
20,Alpes-Maritimes,IGP,Provence
21,Alpilles,IGP,Provence
22,Alsace,Régionale,Alsace
23,Alsace Bergheim,Communale,Alsace
24,Alsace Blienschwiller,Communale,Alsace
25,Alsace Coteaux du Haut Koenigsbourg,Communale,Alsace
26,Alsace Côte de Rouffach,Communale,Alsace
27,Alsace Côtes de Barr,Communale,Alsace
28,Alsace Grand Cru Altenberg de Bergbieten,Grand Cru,Bas-Rhin
29,Alsace Grand Cru Altenberg de Bergheim,Grand Cru,Bas-Rhin
30,Alsace Grand Cru Altenberg de Wolxheim,Grand Cru,Bas-Rhin
31,Alsace Grand Cru Brand,Grand Cru,Bas-Rhin
